STATION,DATE,MAX
72530094846,2014-03-28,55.0
72530094846,2014-03-29,55.0
72530094846,2014-03-30,57.0
72530094846,2014-03-31,66.9
72530094846,2014-04-01,68.0
72530094846,2014-04-02,57.0
72530094846,2014-04-03,45.0
72530094846,2014-04-04,48.0
72530094846,2014-04-05,51.1
72530094846,2014-04-06,57.0
72530094846,2014-04-07,57.0
72530094846,2014-04-08,60.1
72530094846,2014-04-09,62.1
72530094846,2014-04-10,64.9
72530094846,2014-04-11,70.0
72530094846,2014-04-12,80.1
72530094846,2014-04-13,75.0
72530094846,2014-04-14,69.1
72530094846,2014-04-15,37.9
72530094846,2014-04-16,52.0
72530094846,2014-04-17,62.1
72530094846,2014-04-18,62.1
72530094846,2014-04-19,66.0
72530094846,2014-04-20,79.0
72530094846,2014-04-21,75.0
72530094846,2014-04-22,73.9
72530094846,2014-04-23,61.0
72530094846,2014-04-24,64.0
72530094846,2014-04-25,70.0
72530094846,2014-04-26,70.0
72530094846,2014-04-27,60.1
72530094846,2014-04-28,60.1
72530094846,2014-04-29,59.0
72530094846,2014-04-30,59.0
72530094846,2014-05-01,53.1
72530094846,2014-05-02,53.1
72530094846,2014-05-03,66.9
72530094846,2014-05-04,66.9
72530094846,2014-05-05,57.9
72530094846,2014-05-06,63.0
72530094846,2014-05-07,78.1
72530094846,2014-05-08,89.1
72530094846,2014-05-09,89.1
72530094846,2014-05-10,77.0
72530094846,2014-05-11,81.0
72530094846,2014-05-12,84.0
72530094846,2014-05-13,84.0
72530094846,2014-05-14,55.9
72530094846,2014-05-15,55.9
72530094846,2014-05-16,55.0
72530094846,2014-05-17,60.1
72530094846,2014-05-18,69.1
72530094846,2014-05-19,69.1
72530094846,2014-05-20,84.9
72530094846,2014-05-21,86.0
72530094846,2014-05-22,86.0
72530094846,2014-05-23,70.0
72530094846,2014-05-24,73.9
72530094846,2014-05-25,82.9
72530094846,2014-05-26,87.1
72530094846,2014-05-27,87.1
72530094846,2014-05-28,84.9
72530094846,2014-05-29,75.0
72530094846,2014-05-30,79.0
72530094846,2014-05-31,88.0
72530094846,2014-06-01,90.0
72530094846,2014-06-02,90.0
72530094846,2014-06-03,82.9
72530094846,2014-06-04,81.0
72530094846,2014-06-05,75.9
72530094846,2014-06-06,81.0
72530094846,2014-06-07,84.0
72530094846,2014-06-08,84.0
72530094846,2014-06-09,78.1
72530094846,2014-06-10,78.1
72530094846,2014-06-11,66.9
72530094846,2014-06-12,79.0
72530094846,2014-06-13,79.0
72530094846,2014-06-14,79.0
72530094846,2014-06-15,84.0
72530094846,2014-06-16,88.0
72530094846,2014-06-17,91.0
72530094846,2014-06-18,91.0
72530094846,2014-06-19,82.0
72530094846,2014-06-20,84.9
72530094846,2014-06-21,84.9
72530094846,2014-06-22,84.0
72530094846,2014-06-23,82.0
72530094846,2014-06-24,87.1
72530094846,2014-06-25,87.1
72530094846,2014-06-26,80.1
72530094846,2014-06-27,88.0
72530094846,2014-06-28,88.0
72530094846,2014-06-29,87.1
72530094846,2014-06-30,87.1
72530094846,2014-07-01,80.1
72530094846,2014-07-02,80.1
72530094846,2014-07-03,73.9
72530094846,2014-07-04,79.0
72530094846,2014-07-05,79.0
72530094846,2014-07-06,87.1
72530094846,2014-07-07,88.0
72530094846,2014-07-08,88.0
72530094846,2014-07-09,81.0
72530094846,2014-07-10,80.1
72530094846,2014-07-11,81.0
72530094846,2014-07-12,81.0
72530094846,2014-07-13,84.9
72530094846,2014-07-14,84.9
72530094846,2014-07-15,80.1
72530094846,2014-07-16,72.0
72530094846,2014-07-17,78.1
72530094846,2014-07-18,79.0
72530094846,2014-07-19,80.1
72530094846,2014-07-20,82.0
72530094846,2014-07-21,86.0
72530094846,2014-07-22,90.0
72530094846,2014-07-23,90.0
72530094846,2014-07-24,75.0
72530094846,2014-07-25,75.0
72530094846,2014-07-26,84.0
72530094846,2014-07-27,87.1
72530094846,2014-07-28,87.1
72530094846,2014-07-29,81.0
72530094846,2014-07-30,81.0
72530094846,2014-07-31,84.0
72530094846,2014-08-01,84.9
72530094846,2014-08-02,86.0
72530094846,2014-08-03,87.1
72530094846,2014-08-04,87.1
72530094846,2014-08-05,87.1
72530094846,2014-08-06,80.1
72530094846,2014-08-07,81.0
72530094846,2014-08-08,82.0
72530094846,2014-08-09,82.0
72530094846,2014-08-10,81.0
72530094846,2014-08-11,82.0
72530094846,2014-08-12,82.0
72530094846,2014-08-13,82.0
72530094846,2014-08-14,82.0
72530094846,2014-08-15,78.1
72530094846,2014-08-16,82.0
72530094846,2014-08-17,82.0
72530094846,2014-08-18,82.9
72530094846,2014-08-19,86.0
72530094846,2014-08-20,86.0
72530094846,2014-08-21,86.0
72530094846,2014-08-22,86.0
72530094846,2014-08-23,86.0
72530094846,2014-08-24,88.0
72530094846,2014-08-25,88.0
72530094846,2014-08-26,88.0
72530094846,2014-08-27,84.9
72530094846,2014-08-28,82.0
72530094846,2014-08-29,86.0
72530094846,2014-08-30,86.0
72530094846,2014-08-31,84.9
72530094846,2014-09-01,88.0
72530094846,2014-09-02,82.9
72530094846,2014-09-03,82.9
72530094846,2014-09-04,84.9
72530094846,2014-09-05,88.0
72530094846,2014-09-06,88.0
72530094846,2014-09-07,80.1
72530094846,2014-09-08,80.1
72530094846,2014-09-09,79.0
72530094846,2014-09-10,80.1
72530094846,2014-09-11,80.1
72530094846,2014-09-12,55.9
72530094846,2014-09-13,57.0
72530094846,2014-09-14,64.9
72530094846,2014-09-15,64.9
72530094846,2014-09-16,68.0
72530094846,2014-09-17,70.0
72530094846,2014-09-18,70.0
72530094846,2014-09-19,78.1
72530094846,2014-09-20,78.1
72530094846,2014-09-21,77.0
72530094846,2014-09-22,69.1
72530094846,2014-09-23,73.9
72530094846,2014-09-24,80.1
72530094846,2014-09-25,80.1
72530094846,2014-09-26,79.0
72530094846,2014-09-27,79.0
72530094846,2014-09-28,79.0
72530094846,2014-09-29,82.9
72530094846,2014-09-30,60.1
72530094846,2014-10-01,70.0
72530094846,2014-10-02,72.0
72530094846,2014-10-03,72.0
72530094846,2014-10-04,48.0
72530094846,2014-10-05,55.0
72530094846,2014-10-06,61.0
72530094846,2014-10-07,66.0
72530094846,2014-10-08,66.0
72530094846,2014-10-09,64.9
72530094846,2014-10-10,62.1
72530094846,2014-10-11,59.0
72530094846,2014-10-12,63.0
72530094846,2014-10-13,66.9
72530094846,2014-10-14,66.9
72530094846,2014-10-15,64.9
72530094846,2014-10-16,55.9
72530094846,2014-10-17,62.1
72530094846,2014-10-18,62.1
72530094846,2014-10-19,54.0
72530094846,2014-10-20,64.9
72530094846,2014-10-21,64.9
72530094846,2014-10-22,55.9
72530094846,2014-10-23,59.0
72530094846,2014-10-24,66.0
72530094846,2014-10-25,72.0
72530094846,2014-10-26,72.0
72530094846,2014-10-27,77.0
72530094846,2014-10-28,77.0
72530094846,2014-10-29,52.0
72530094846,2014-10-30,51.1
72530094846,2014-10-31,51.1
72530094846,2014-11-01,46.9
72530094846,2014-11-02,51.1
72530094846,2014-11-03,61.0
72530094846,2014-11-04,62.1
